cap-diameter,cap-shape,cap-surface,cap-color,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-color,ring-type,habitat,does-bruise-or-bleed,has-ring,is-poisonous,season_a,season_s,season_u,season_w
8.3,b,t,w,e,1,w,13.41,13.32,w,l,d,False,True,True,False,False,True,False
6.95,b,t,w,e,1,w,11.66,11.45,w,l,d,False,True,True,True,False,False,False
8.54,b,t,w,e,1,w,13.09,13.49,w,e,d,False,True,True,True,False,False,False
8.08,b,t,w,e,1,w,14.37,15.14,w,e,d,False,True,True,True,False,False,False
8.59,b,t,w,e,1,w,12.61,12.96,w,l,d,False,True,True,False,False,True,False
6.76,b,t,w,e,1,w,11.83,9.79,w,l,d,False,True,True,True,False,False,False
8.28,b,t,w,e,1,w,12.67,13.21,w,e,d,False,True,True,True,False,False,False
6.12,b,t,w,e,1,w,11.55,12.01,w,l,d,False,True,True,False,False,True,False
6.81,b,t,w,e,1,w,12.39,12.08,w,l,d,False,True,True,True,False,False,False
7.92,b,t,w,e,1,w,11.96,13.13,w,e,d,False,True,True,False,False,True,False
9.0,b,t,w,e,1,w,13.39,14.39,w,l,d,False,True,True,False,False,True,False
8.58,b,t,w,e,1,w,12.14,13.4,w,l,d,False,True,True,True,False,False,False
7.58,b,t,w,e,1,w,12.8,12.34,w,l,d,False,True,True,True,False,False,False
6.04,b,t,w,e,1,w,12.55,12.8,w,e,d,False,True,True,False,False,True,False
6.52,b,t,w,e,1,w,12.38,12.9,w,l,d,False,True,True,True,False,False,False
6.95,b,t,w,e,1,w,11.11,10.91,w,l,d,False,True,True,False,False,True,False
7.06,b,t,w,e,1,w,13.03,12.29,w,l,d,False,True,True,True,False,False,False
8.36,b,t,w,e,1,w,13.68,13.34,w,e,d,False,True,True,False,False,True,False
7.57,b,t,w,e,1,w,13.36,13.81,w,l,d,False,True,True,True,False,False,False
8.21,b,t,w,e,1,w,11.47,12.56,w,e,d,False,True,True,False,False,True,False
6.72,b,t,w,e,1,w,11.91,12.31,w,l,d,False,True,True,True,False,False,False
7.72,b,t,w,e,1,w,12.33,11.32,w,e,d,False,True,True,False,False,True,False
7.6,b,t,w,e,1,w,13.02,13.1,w,e,d,False,True,True,False,False,True,False
6.32,b,t,w,e,1,w,12.23,13.01,w,l,d,False,True,True,False,False,True,False
9.1,b,t,w,e,1,w,12.92,13.72,w,l,d,False,True,True,False,False,True,False
6.52,b,t,w,e,1,w,13.24,12.54,w,l,d,False,True,True,False,False,True,False
8.19,b,t,w,e,1,w,13.35,12.19,w,l,d,False,True,True,True,False,False,False
7.67,b,t,w,e,1,w,13.22,13.45,w,l,d,False,True,True,True,False,False,False
6.12,b,t,w,e,1,w,10.92,10.15,w,l,d,False,True,True,True,False,False,False
7.43,b,t,w,e,1,w,11.84,11.69,w,l,d,False,True,True,True,False,False,False
7.55,b,t,w,e,1,w,11.69,13.24,w,e,d,False,True,True,True,False,False,False
6.58,b,t,w,e,1,w,10.84,11.26,w,e,d,False,True,True,True,False,False,False
7.97,b,t,w,e,1,w,12.43,12.43,w,l,d,False,True,True,False,False,True,False
7.43,b,t,w,e,1,w,14.67,13.64,w,e,d,False,True,True,False,False,True,False
7.67,b,t,w,e,1,w,12.43,12.86,w,l,d,False,True,True,False,False,True,False
7.38,b,t,w,e,1,w,12.85,13.46,w,e,d,False,True,True,True,False,False,False
7.01,b,t,w,e,1,w,11.59,12.17,w,l,d,False,True,True,False,False,True,False
6.61,b,t,w,e,1,w,11.78,10.86,w,e,d,False,True,True,True,False,False,False
7.83,b,t,w,e,1,w,13.2,13.26,w,e,d,False,True,True,False,False,True,False
8.07,b,t,w,e,1,w,11.69,11.59,w,e,d,False,True,True,True,False,False,False
5.9,b,t,w,e,1,w,12.46,12.55,w,l,d,False,True,True,True,False,False,False
8.78,b,t,w,e,1,w,12.0,13.09,w,e,d,False,True,True,False,False,True,False
7.3,b,t,w,e,1,w,13.29,12.55,w,l,d,False,True,True,False,False,True,False
8.12,b,t,w,e,1,w,14.19,13.14,w,l,d,False,True,True,False,False,True,False
5.82,b,t,w,e,1,w,12.02,12.07,w,e,d,False,True,True,True,False,False,False
7.85,b,t,w,e,1,w,12.98,12.79,w,l,d,False,True,True,True,False,False,False
7.24,b,t,w,e,1,w,12.53,12.71,w,l,d,False,True,True,True,False,False,False
7.01,b,t,w,e,1,w,13.5,14.21,w,l,d,False,True,True,True,False,False,False
7.14,b,t,w,e,1,w,12.23,11.9,w,l,d,False,True,True,False,False,True,False
7.41,b,t,w,e,1,w,11.53,11.88,w,l,d,False,True,True,False,False,True,False
9.19,b,t,w,e,1,w,13.75,13.72,w,e,d,False,True,True,True,False,False,False
7.48,b,t,w,e,1,w,12.6,12.91,w,l,d,False,True,True,True,False,False,False
6.33,b,t,w,e,1,w,12.39,11.54,w,l,d,False,True,True,True,False,False,False
7.89,b,t,w,e,1,w,12.74,13.22,w,l,d,False,True,True,False,False,True,False
7.09,b,t,w,e,1,w,11.93,11.39,w,l,d,False,True,True,True,False,False,False
7.78,b,t,w,e,1,w,11.34,11.74,w,l,d,False,True,True,False,False,True,False
8.18,b,t,w,e,1,w,13.42,14.1,w,l,d,False,True,True,False,False,True,False
7.66,b,t,w,e,1,w,12.27,11.96,w,l,d,False,True,True,True,False,False,False
7.1,b,t,w,e,1,w,11.07,11.59,w,e,d,False,True,True,True,False,False,False
8.86,b,t,w,e,1,w,12.4,12.83,w,l,d,False,True,True,True,False,False,False
5.34,b,t,w,e,1,w,10.78,11.12,w,l,d,False,True,True,False,False,True,False
5.9,b,t,w,e,1,w,12.22,12.42,w,l,d,False,True,True,True,False,False,False
7.9,b,t,w,e,1,w,12.95,13.2,w,l,d,False,True,True,False,False,True,False
6.7,b,t,w,e,1,w,12.53,12.02,w,e,d,False,True,True,False,False,True,False
6.42,b,t,w,e,1,w,11.32,11.89,w,e,d,False,True,True,False,False,True,False
8.28,b,t,w,e,1,w,13.17,13.18,w,e,d,False,True,True,False,False,True,False
7.95,b,t,w,e,1,w,13.67,13.29,w,e,d,False,True,True,True,False,False,False
6.62,b,t,w,e,1,w,10.7,11.0,w,e,d,False,True,True,True,False,False,False
6.71,b,t,w,e,1,w,13.5,11.86,w,e,d,False,True,True,False,False,True,False
8.43,b,t,w,e,1,w,12.25,12.55,w,l,d,False,True,True,False,False,True,False
7.5,b,t,w,e,1,w,12.0,13.5,w,e,d,False,True,True,False,False,True,False
8.48,b,t,w,e,1,w,13.72,14.6,w,e,d,False,True,True,False,False,True,False
7.25,b,t,w,e,1,w,11.47,12.1,w,l,d,False,True,True,True,False,False,False
7.74,b,t,w,e,1,w,13.81,12.74,w,e,d,False,True,True,False,False,True,False
6.83,b,t,w,e,1,w,12.3,12.23,w,e,d,False,True,True,True,False,False,False
7.45,b,t,w,e,1,w,11.6,11.26,w,l,d,False,True,True,False,False,True,False
7.22,b,t,w,e,1,w,12.01,11.08,w,l,d,False,True,True,False,False,True,False
6.61,b,t,w,e,1,w,11.93,12.24,w,l,d,False,True,True,False,False,True,False
7.78,b,t,w,e,1,w,12.46,13.63,w,l,d,False,True,True,False,False,True,False
6.48,b,t,w,e,1,w,12.33,12.59,w,e,d,False,True,True,False,False,True,False
7.18,b,t,w,e,1,w,12.6,12.23,w,e,d,False,True,True,False,False,True,False
8.32,b,t,w,e,1,w,12.0,12.0,w,l,d,False,True,True,False,False,True,False
7.8,b,t,w,e,1,w,12.2,11.73,w,e,d,False,True,True,True,False,False,False
7.06,b,t,w,e,1,w,13.01,13.47,w,e,d,False,True,True,False,False,True,False
6.76,b,t,w,e,1,w,12.36,11.9,w,l,d,False,True,True,True,False,False,False
7.3,b,t,w,e,1,w,13.77,13.16,w,l,d,False,True,True,True,False,False,False
8.44,b,t,w,e,1,w,13.63,13.01,w,l,d,False,True,True,False,False,True,False
8.94,b,t,w,e,1,w,13.32,13.37,w,e,d,False,True,True,False,False,True,False
6.16,b,t,w,e,1,w,10.86,11.96,w,e,d,False,True,True,False,False,True,False
8.26,b,t,w,e,1,w,12.66,13.06,w,e,d,False,True,True,False,False,True,False
8.6,b,t,w,e,1,w,13.62,14.23,w,e,d,False,True,True,False,False,True,False
7.66,b,t,w,e,1,w,13.71,13.94,w,e,d,False,True,True,True,False,False,False
9.0,b,t,w,e,1,w,13.89,13.68,w,e,d,False,True,True,False,False,True,False
9.01,b,t,w,e,1,w,13.53,12.38,w,e,d,False,True,True,True,False,False,False
7.99,b,t,w,e,1,w,12.37,11.52,w,l,d,False,True,True,False,False,True,False
7.82,b,t,w,e,1,w,13.37,14.09,w,l,d,False,True,True,True,False,False,False
6.07,b,t,w,e,1,w,11.6,12.28,w,l,d,False,True,True,False,False,True,False
5.37,b,t,w,e,1,w,11.36,12.03,w,e,d,False,True,True,True,False,False,False
7.25,b,t,w,e,1,w,12.75,13.62,w,l,d,False,True,True,False,False,True,False
8.52,b,t,w,e,1,w,13.56,13.79,w,e,d,False,True,True,True,False,False,False
7.35,b,t,w,e,1,w,13.58,14.13,w,l,d,False,True,True,False,False,True,False
7.28,b,t,w,e,1,w,12.98,12.84,w,e,d,False,True,True,False,False,True,False
6.71,b,t,w,e,1,w,11.55,12.15,w,e,d,False,True,True,False,False,True,False
6.33,b,t,w,e,1,w,12.75,12.24,w,l,d,False,True,True,False,False,True,False
7.0,b,t,w,e,1,w,12.06,12.35,w,l,d,False,True,True,False,False,True,False
6.26,b,t,w,e,1,w,11.67,11.3,w,l,d,False,True,True,True,False,False,False
7.85,b,t,w,e,1,w,12.41,13.16,w,l,d,False,True,True,True,False,False,False
6.86,b,t,w,e,1,w,13.46,13.58,w,e,d,False,True,True,False,False,True,False
7.5,b,t,w,e,1,w,13.41,13.72,w,e,d,False,True,True,False,False,True,False
9.1,b,t,w,e,1,w,13.06,12.63,w,l,d,False,True,True,True,False,False,False
8.11,b,t,w,e,1,w,13.05,13.22,w,l,d,False,True,True,True,False,False,False
8.37,b,t,w,e,1,w,13.02,12.56,w,e,d,False,True,True,False,False,True,False
6.62,b,t,w,e,1,w,11.68,12.78,w,e,d,False,True,True,True,False,False,False
6.82,b,t,w,e,1,w,11.89,12.91,w,e,d,False,True,True,True,False,False,False
7.72,b,t,w,e,1,w,12.96,12.67,w,l,d,False,True,True,False,False,True,False
8.02,b,t,w,e,1,w,12.56,12.61,w,l,d,False,True,True,False,False,True,False
7.55,b,t,w,e,1,w,12.84,13.15,w,l,d,False,True,True,True,False,False,False
7.73,b,t,w,e,1,w,13.03,12.03,w,e,d,False,True,True,True,False,False,False
6.82,b,t,w,e,1,w,11.96,12.45,w,e,d,False,True,True,True,False,False,False
8.15,b,t,w,e,1,w,12.81,12.16,w,e,d,False,True,True,False,False,True,False
6.44,b,t,w,e,1,w,12.23,12.02,w,e,d,False,True,True,False,False,True,False
7.48,b,t,w,e,1,w,13.37,12.54,w,l,d,False,True,True,False,False,True,False
6.39,b,t,w,e,1,w,12.41,11.93,w,l,d,False,True,True,True,False,False,False
8.02,b,t,w,e,1,w,12.92,13.37,w,l,d,False,True,True,True,False,False,False
6.45,b,t,w,e,1,w,11.76,12.09,w,l,d,False,True,True,False,False,True,False
7.59,b,t,w,e,1,w,11.84,12.23,w,l,d,False,True,True,False,False,True,False
6.55,b,t,w,e,1,w,11.89,11.52,w,l,d,False,True,True,False,False,True,False
8.14,b,t,w,e,1,w,13.51,12.96,w,e,d,False,True,True,True,False,False,False
7.21,b,t,w,e,1,w,11.99,12.05,w,l,d,False,True,True,False,False,True,False
7.47,b,t,w,e,1,w,13.11,12.82,w,l,d,False,True,True,True,False,False,False
6.84,b,t,w,e,1,w,12.22,12.07,w,e,d,False,True,True,True,False,False,False
7.76,b,t,w,e,1,w,11.83,12.01,w,l,d,False,True,True,False,False,True,False
7.8,b,t,w,e,1,w,13.32,13.19,w,l,d,False,True,True,False,False,True,False
6.84,b,t,w,e,1,w,12.13,12.47,w,l,d,False,True,True,False,False,True,False
8.77,b,t,w,e,1,w,12.33,11.91,w,l,d,False,True,True,False,False,True,False
7.98,b,t,w,e,1,w,11.38,11.28,w,e,d,False,True,True,False,False,True,False
7.86,b,t,w,e,1,w,12.94,13.7,w,e,d,False,True,True,False,False,True,False
7.91,b,t,w,e,1,w,12.91,13.0,w,l,d,False,True,True,True,False,False,False
7.59,b,t,w,e,1,w,11.63,12.45,w,e,d,False,True,True,False,False,True,False
7.41,b,t,w,e,1,w,12.03,13.96,w,e,d,False,True,True,True,False,False,False
8.0,b,t,w,e,1,w,12.66,12.12,w,l,d,False,True,True,False,False,True,False
8.94,b,t,w,e,1,w,12.92,12.3,w,l,d,False,True,True,True,False,False,False
5.08,b,t,w,e,1,w,11.02,11.71,w,l,d,False,True,True,False,False,True,False
6.59,b,t,w,e,1,w,12.17,11.91,w,e,d,False,True,True,True,False,False,False
8.68,b,t,w,e,1,w,12.13,12.29,w,l,d,False,True,True,False,False,True,False
7.31,b,t,w,e,1,w,12.91,11.55,w,l,d,False,True,True,True,False,False,False
7.03,b,t,w,e,1,w,12.23,12.51,w,l,d,False,True,True,False,False,True,False
8.06,b,t,w,e,1,w,12.92,12.47,w,e,d,False,True,True,False,False,True,False
7.1,b,t,w,e,1,w,13.16,13.1,w,e,d,False,True,True,True,False,False,False
7.05,b,t,w,e,1,w,10.52,11.28,w,e,d,False,True,True,True,False,False,False
6.57,b,t,w,e,1,w,12.07,12.12,w,e,d,False,True,True,False,False,True,False
7.43,b,t,w,e,1,w,11.65,12.19,w,l,d,False,True,True,True,False,False,False
9.64,b,t,w,e,1,w,13.65,13.34,w,e,d,False,True,True,False,False,True,False
8.34,b,t,w,e,1,w,11.12,11.03,w,l,d,False,True,True,False,False,True,False
7.17,b,t,w,e,1,w,12.32,12.54,w,l,d,False,True,True,False,False,True,False
7.65,b,t,w,e,1,w,14.07,13.81,w,l,d,False,True,True,True,False,False,False
6.89,b,t,w,e,1,w,13.6,12.44,w,e,d,False,True,True,True,False,False,False
9.27,b,t,w,e,1,w,12.97,13.61,w,l,d,False,True,True,True,False,False,False
7.69,b,t,w,e,1,w,11.3,12.29,w,e,d,False,True,True,False,False,True,False
8.98,b,t,w,e,1,w,14.4,13.29,w,e,d,False,True,True,True,False,False,False
8.55,b,t,w,e,1,w,13.63,13.64,w,l,d,False,True,True,True,False,False,False
9.42,b,t,w,e,1,w,13.16,13.67,w,l,d,False,True,True,False,False,True,False
8.47,b,t,w,e,1,w,13.13,13.09,w,e,d,False,True,True,True,False,False,False
7.44,b,t,w,e,1,w,15.13,13.63,w,e,d,False,True,True,True,False,False,False
7.79,b,t,w,e,1,w,11.63,11.36,w,l,d,False,True,True,True,False,False,False
8.34,b,t,w,e,1,w,12.37,12.06,w,e,d,False,True,True,False,False,True,False
8.51,b,t,w,e,1,w,12.37,12.95,w,e,d,False,True,True,True,False,False,False
7.45,b,t,w,e,1,w,12.07,11.74,w,e,d,False,True,True,False,False,True,False
5.94,b,t,w,e,1,w,11.75,10.33,w,e,d,False,True,True,True,False,False,False
8.41,b,t,w,e,1,w,13.58,14.86,w,l,d,False,True,True,False,False,True,False
7.38,b,t,w,e,1,w,13.72,14.09,w,e,d,False,True,True,True,False,False,False
7.42,b,t,w,e,1,w,13.57,13.03,w,e,d,False,True,True,True,False,False,False
8.05,b,t,w,e,1,w,12.57,12.34,w,e,d,False,True,True,True,False,False,False
7.24,b,t,w,e,1,w,12.15,11.91,w,l,d,False,True,True,True,False,False,False
9.12,b,t,w,e,1,w,13.44,14.04,w,e,d,False,True,True,False,False,True,False
7.63,b,t,w,e,1,w,14.04,13.76,w,e,d,False,True,True,True,False,False,False
7.76,b,t,w,e,1,w,12.64,12.01,w,e,d,False,True,True,False,False,True,False
7.99,b,t,w,e,1,w,13.13,12.87,w,l,d,False,True,True,False,False,True,False
7.65,b,t,w,e,1,w,12.51,11.94,w,e,d,False,True,True,False,False,True,False
6.88,b,t,w,e,1,w,13.36,12.23,w,e,d,False,True,True,False,False,True,False
7.66,b,t,w,e,1,w,12.61,12.12,w,e,d,False,True,True,False,False,True,False
7.92,b,t,w,e,1,w,13.78,13.34,w,l,d,False,True,True,True,False,False,False
8.27,b,t,w,e,1,w,13.94,13.61,w,l,d,False,True,True,False,False,True,False
7.25,b,t,w,e,1,w,12.64,12.24,w,e,d,False,True,True,True,False,False,False
7.26,b,t,w,e,1,w,13.77,13.41,w,l,d,False,True,True,True,False,False,False
7.48,b,t,w,e,1,w,14.28,13.43,w,e,d,False,True,True,False,False,True,False
7.62,b,t,w,e,1,w,11.82,11.73,w,e,d,False,True,True,True,False,False,False
7.71,b,t,w,e,1,w,13.62,12.88,w,l,d,False,True,True,True,False,False,False
7.76,b,t,w,e,1,w,12.04,11.32,w,l,d,False,True,True,True,False,False,False
7.54,b,t,w,e,1,w,12.32,13.02,w,e,d,False,True,True,True,False,False,False
9.01,b,t,w,e,1,w,13.37,13.73,w,l,d,False,True,True,True,False,False,False
7.1,b,t,w,e,1,w,11.64,12.41,w,e,d,False,True,True,False,False,True,False
8.48,b,t,w,e,1,w,13.28,13.61,w,e,d,False,True,True,False,False,True,False
6.95,b,t,w,e,1,w,12.76,13.09,w,l,d,False,True,True,True,False,False,False
7.46,b,t,w,e,1,w,11.92,11.07,w,e,d,False,True,True,True,False,False,False
7.38,b,t,w,e,1,w,11.53,11.33,w,l,d,False,True,True,False,False,True,False
7.81,b,t,w,e,1,w,12.6,12.23,w,e,d,False,True,True,False,False,True,False
6.79,b,t,w,e,1,w,12.87,11.86,w,e,d,False,True,True,True,False,False,False
7.58,b,t,w,e,1,w,14.34,14.33,w,l,d,False,True,True,False,False,True,False
7.92,b,t,w,e,1,w,13.14,13.45,w,l,d,False,True,True,False,False,True,False
5.73,b,t,w,e,1,w,12.3,12.13,w,l,d,False,True,True,True,False,False,False
7.32,b,t,w,e,1,w,11.27,12.05,w,l,d,False,True,True,False,False,True,False
8.39,b,t,w,e,1,w,13.16,13.23,w,l,d,False,True,True,True,False,False,False
5.74,b,t,w,e,1,w,10.49,10.97,w,e,d,False,True,True,False,False,True,False
7.89,b,t,w,e,1,w,13.59,13.24,w,l,d,False,True,True,True,False,False,False
7.38,b,t,w,e,1,w,12.28,12.08,w,l,d,False,True,True,False,False,True,False
5.51,b,t,w,e,1,w,11.03,10.18,w,l,d,False,True,True,True,False,False,False
7.47,b,t,w,e,1,w,13.14,12.68,w,e,d,False,True,True,True,False,False,False
7.45,b,t,w,e,1,w,12.55,13.21,w,e,d,False,True,True,False,False,True,False
8.23,b,t,w,e,1,w,12.91,14.48,w,e,d,False,True,True,True,False,False,False
7.0,b,t,w,e,1,w,12.15,12.36,w,e,d,False,True,True,False,False,True,False
6.76,b,t,w,e,1,w,12.21,12.39,w,l,d,False,True,True,False,False,True,False
4.35,b,t,w,e,1,w,9.1,10.96,w,e,d,False,True,True,True,False,False,False
7.35,b,t,w,e,1,w,12.99,13.37,w,e,d,False,True,True,True,False,False,False
8.65,b,t,w,e,1,w,13.9,13.85,w,e,d,False,True,True,True,False,False,False
8.64,b,t,w,e,1,w,13.15,13.31,w,l,d,False,True,True,False,False,True,False
6.76,b,t,w,e,1,w,12.12,10.9,w,e,d,False,True,True,True,False,False,False
7.93,b,t,w,e,1,w,12.42,11.8,w,l,d,False,True,True,True,False,False,False
6.58,b,t,w,e,1,w,12.85,12.2,w,l,d,False,True,True,False,False,True,False
8.35,b,t,w,e,1,w,14.6,13.97,w,e,d,False,True,True,True,False,False,False
8.89,b,t,w,e,1,w,11.77,12.33,w,l,d,False,True,True,False,False,True,False
6.53,b,t,w,e,1,w,11.17,9.87,w,e,d,False,True,True,True,False,False,False
5.54,b,t,w,e,1,w,9.94,10.12,w,l,d,False,True,True,True,False,False,False
8.62,b,t,w,e,1,w,12.83,13.45,w,e,d,False,True,True,False,False,True,False
8.39,b,t,w,e,1,w,12.92,13.37,w,l,d,False,True,True,True,False,False,False
6.79,b,t,w,e,1,w,12.52,13.37,w,e,d,False,True,True,False,False,True,False
6.63,b,t,w,e,1,w,13.54,12.32,w,e,d,False,True,True,True,False,False,False
7.77,b,t,w,e,1,w,13.9,13.14,w,l,d,False,True,True,True,False,False,False
6.91,b,t,w,e,1,w,11.99,12.98,w,l,d,False,True,True,False,False,True,False
6.71,b,t,w,e,1,w,11.88,12.58,w,l,d,False,True,True,True,False,False,False
8.71,b,t,w,e,1,w,12.56,11.97,w,l,d,False,True,True,False,False,True,False
7.14,b,t,w,e,1,w,12.89,13.42,w,l,d,False,True,True,True,False,False,False
7.14,b,t,w,e,1,w,12.51,11.84,w,l,d,False,True,True,True,False,False,False
6.76,b,t,w,e,1,w,12.94,14.03,w,l,d,False,True,True,False,False,True,False
8.58,b,t,w,e,1,w,13.53,14.72,w,l,d,False,True,True,False,False,True,False
7.22,b,t,w,e,1,w,12.55,11.95,w,l,d,False,True,True,False,False,True,False
7.87,b,t,w,e,1,w,12.46,12.54,w,l,d,False,True,True,False,False,True,False
7.25,b,t,w,e,1,w,12.49,11.96,w,e,d,False,True,True,True,False,False,False
6.32,b,t,w,e,1,w,11.18,11.19,w,l,d,False,True,True,False,False,True,False
9.11,b,t,w,e,1,w,13.2,13.27,w,e,d,False,True,True,False,False,True,False
7.67,b,t,w,e,1,w,12.91,12.32,w,e,d,False,True,True,False,False,True,False
6.77,b,t,w,e,1,w,12.79,12.67,w,e,d,False,True,True,True,False,False,False
6.44,b,t,w,e,1,w,11.66,11.97,w,e,d,False,True,True,False,False,True,False
8.16,b,t,w,e,1,w,13.12,12.73,w,e,d,False,True,True,False,False,True,False
6.61,b,t,w,e,1,w,12.4,11.66,w,l,d,False,True,True,True,False,False,False
6.77,b,t,w,e,1,w,12.52,11.63,w,e,d,False,True,True,True,False,False,False
8.01,b,t,w,e,1,w,13.73,13.15,w,e,d,False,True,True,False,False,True,False
8.8,b,t,w,e,1,w,12.87,13.1,w,l,d,False,True,True,True,False,False,False
6.63,b,t,w,e,1,w,11.42,12.36,w,l,d,False,True,True,True,False,False,False
6.28,b,t,w,e,1,w,13.03,12.69,w,l,d,False,True,True,False,False,True,False
6.92,b,t,w,e,1,w,12.57,12.02,w,l,d,False,True,True,True,False,False,False
8.1,b,t,w,e,1,w,11.47,12.66,w,e,d,False,True,True,False,False,True,False
6.99,b,t,w,e,1,w,11.47,12.35,w,e,d,False,True,True,True,False,False,False
7.87,b,t,w,e,1,w,12.98,12.98,w,e,d,False,True,True,True,False,False,False
6.2,b,t,w,e,1,w,11.16,11.82,w,e,d,False,True,True,True,False,False,False
7.38,b,t,w,e,1,w,12.54,11.9,w,l,d,False,True,True,False,False,True,False
7.85,b,t,w,e,1,w,11.78,12.19,w,l,d,False,True,True,False,False,True,False
